,sale_price,overall_qual,square_feet,total_room,year_build,lot_frontage
0,208500.0,7.0,856.0,8.0,2003.0,65.0
1,181500.0,6.0,1262.0,6.0,1976.0,80.0
2,223500.0,7.0,920.0,6.0,2001.0,68.0
3,140000.0,7.0,961.0,7.0,1915.0,60.0
4,250000.0,8.0,1145.0,9.0,2000.0,84.0
5,143000.0,5.0,796.0,5.0,1993.0,85.0
6,307000.0,8.0,1694.0,7.0,2004.0,75.0
7,200000.0,7.0,1107.0,7.0,1973.0,
8,129900.0,7.0,1022.0,8.0,1931.0,51.0
9,118000.0,5.0,1077.0,5.0,1939.0,50.0
10,129500.0,5.0,1040.0,5.0,1965.0,70.0
11,345000.0,9.0,1182.0,11.0,2005.0,85.0
12,144000.0,5.0,912.0,4.0,1962.0,
13,279500.0,7.0,1494.0,7.0,2006.0,91.0
14,157000.0,6.0,1253.0,5.0,1960.0,
15,132000.0,7.0,854.0,5.0,1929.0,51.0
16,149000.0,6.0,1004.0,5.0,1970.0,
17,90000.0,4.0,1296.0,6.0,1967.0,72.0
18,159000.0,5.0,1114.0,6.0,2004.0,66.0
19,139000.0,5.0,1339.0,6.0,1958.0,70.0
20,325300.0,8.0,1158.0,9.0,2005.0,101.0
21,139400.0,7.0,1108.0,6.0,1930.0,57.0
22,230000.0,8.0,1795.0,7.0,2002.0,75.0
23,129900.0,5.0,1060.0,6.0,1976.0,44.0
24,154000.0,5.0,1060.0,6.0,1968.0,
25,256300.0,8.0,1600.0,7.0,2007.0,110.0
26,134800.0,5.0,900.0,5.0,1951.0,60.0
27,306000.0,8.0,1704.0,7.0,2007.0,98.0
28,207500.0,5.0,1600.0,6.0,1957.0,47.0
29,68500.0,4.0,520.0,4.0,1927.0,60.0
30,40000.0,4.0,649.0,6.0,1920.0,50.0
31,149350.0,5.0,1228.0,6.0,1966.0,
32,179900.0,8.0,1234.0,7.0,2007.0,85.0
33,165500.0,5.0,1700.0,6.0,1959.0,70.0
34,277500.0,9.0,1561.0,6.0,2005.0,60.0
35,309000.0,8.0,1132.0,9.0,2004.0,108.0
36,145000.0,5.0,1097.0,6.0,1994.0,112.0
37,153000.0,5.0,1297.0,5.0,1954.0,74.0
38,109000.0,5.0,1057.0,5.0,1953.0,68.0
39,82000.0,4.0,1152.0,6.0,1955.0,65.0
40,160000.0,6.0,1324.0,6.0,1965.0,84.0
41,170000.0,5.0,1328.0,5.0,1959.0,115.0
42,144000.0,5.0,884.0,5.0,1983.0,
43,130250.0,5.0,938.0,5.0,1975.0,
44,141000.0,5.0,1150.0,6.0,1959.0,70.0
45,319900.0,9.0,1752.0,6.0,2005.0,61.0
46,239686.0,7.0,1518.0,6.0,2003.0,48.0
47,249700.0,8.0,1656.0,7.0,2006.0,84.0
48,113000.0,4.0,736.0,8.0,1920.0,33.0
49,127000.0,5.0,955.0,6.0,1966.0,66.0
50,177000.0,6.0,794.0,6.0,1997.0,
51,114500.0,6.0,816.0,6.0,1934.0,52.0
52,110000.0,5.0,816.0,5.0,1963.0,110.0
53,385000.0,9.0,1842.0,5.0,1981.0,68.0
54,130000.0,5.0,1360.0,6.0,1955.0,60.0
55,180500.0,6.0,1425.0,7.0,1964.0,100.0
56,172500.0,8.0,983.0,7.0,1999.0,24.0
57,196500.0,7.0,860.0,7.0,2004.0,89.0
58,438780.0,10.0,1426.0,10.0,2006.0,66.0
59,124900.0,5.0,780.0,4.0,1972.0,60.0
60,158000.0,6.0,1158.0,5.0,2004.0,63.0
61,101000.0,5.0,581.0,6.0,1920.0,60.0
62,202500.0,8.0,1370.0,6.0,2006.0,44.0
63,140000.0,7.0,902.0,9.0,1921.0,50.0
64,219500.0,7.0,1057.0,8.0,1997.0,
65,317000.0,8.0,1143.0,9.0,2004.0,76.0
66,180000.0,7.0,2207.0,7.0,1970.0,
67,226000.0,7.0,1479.0,7.0,2003.0,72.0
68,80000.0,4.0,747.0,4.0,1945.0,47.0
69,225000.0,7.0,1304.0,7.0,1953.0,81.0
70,244000.0,7.0,2223.0,8.0,1973.0,95.0
71,129500.0,4.0,845.0,4.0,1982.0,69.0
72,185000.0,7.0,885.0,7.0,1998.0,74.0
73,144900.0,5.0,1086.0,6.0,1954.0,85.0
74,107400.0,3.0,840.0,8.0,1915.0,60.0
75,91000.0,4.0,526.0,5.0,1973.0,21.0
76,135750.0,4.0,952.0,4.0,1956.0,
77,127000.0,5.0,1072.0,6.0,1948.0,50.0
78,136500.0,4.0,1768.0,8.0,1968.0,72.0
